danceability,loudness,speechiness,acousticness,valence,tempo,duration_ms,time_signature,liked
0.915,-10.49,0.343,0.0342,0.753,124.906,88320.0,4,1
0.696,-7.082,0.253,0.203,0.283,131.716,149422.0,4,1
0.25,-7.911,0.145,5.81e-05,0.166,136.707,126333.0,4,0
0.648,-9.716,0.171,0.772,0.407,103.025,256281.0,4,0
0.609,-7.557,0.0451,0.231,0.0761,120.914,285627.0,4,0
0.213,-7.584879999999999,0.0467,0.992,0.0384,65.023,150147.0,3,0
0.909,-5.357,0.0665,0.0696,0.844,126.063,249598.0,4,0
0.777,-7.706,0.0704,0.293,0.119,119.963,247161.0,4,0
0.196,-8.466,0.0818,3.05e-06,0.316,179.661,183827.0,4,0
0.816,-8.561,0.0758,0.235,0.402,134.985,85333.0,3,1
0.808,-5.49,0.273,0.396,0.658,149.978,180000.0,4,1
0.23,-7.584879999999999,0.0412,0.986,0.101,134.839,203656.0,5,0
0.912,-6.657,0.401,0.106,0.848,140.002,166853.0,4,1
0.456,-16.055,0.0535,0.973,0.974,144.489,210680.0,3,0
0.334,-7.584879999999999,0.0355,0.991,0.0964,60.171,241987.0,4,0
0.827,-4.623,0.112,0.0617,0.586,137.043,214456.0,4,1
0.699,-6.9,0.231,0.00153,0.577,170.103,204000.0,4,1
0.751,-4.86,0.304,0.295,0.761,140.041,197674.0,4,1
0.392,-7.584879999999999,0.0571,0.995,0.0417,71.286,234467.0,4,0
0.461,-8.507,0.0959,0.405,0.802,172.435,249960.0,4,0
0.13,-5.888,0.095,2.45e-05,0.334,60.631,272995.0,4,0
0.651,-7.836,0.0583,0.019,0.758,157.738,247440.0,4,0
0.266,-8.346,0.166,0.000386,0.302,86.179,245773.0,4,0
0.483,-3.598,0.0575,0.000526,0.503,156.033,232067.0,4,1
0.726,-4.261,0.0662,0.00108,0.767,140.061,183428.0,4,1
0.829,-5.05,0.102,0.329,0.723,139.961,203813.0,4,1
0.75,-7.112,0.261,0.318,0.538,131.001,207907.0,4,1
0.734,-9.773,0.0635,0.131,0.235,114.969,268347.0,4,0
0.798,-6.61,0.416,0.122,0.659,73.679,94054.0,4,1
0.357,-6.835,0.079,5.22e-05,0.368,96.969,242760.0,4,0
0.688,-7.007,0.0375,0.392,0.359,109.041,252373.0,4,0
0.7,-6.12,0.09,0.725,0.429,143.971,149013.0,4,1
0.883,-6.382,0.208,0.542,0.537,153.99,204179.0,4,1
0.705,-2.588,0.0361,0.414,0.743,120.527,228120.0,4,0
0.368,-7.584879999999999,0.035,0.993,0.085,69.363,254000.0,3,0
0.191,-7.584879999999999,0.0578,0.961,0.0454,132.614,204327.33870967742,1,0
0.87,-8.884,0.23,0.641,0.619,79.993,171000.0,4,1
0.946,-3.668,0.158,0.513,0.652,120.026,184000.0,4,1
0.853,-8.239,0.264,0.0104,0.691,125.059,130560.0,4,1
0.452,-3.063,0.0831,0.00901,0.566,164.032,208827.0,4,1
0.889,-6.366,0.0668,0.195,0.966,110.842,213427.0,4,0
0.72,-8.39,0.167,0.0857,0.766,151.124,209801.0,4,1
0.792,-7.464,0.275,0.305,0.645,155.03,150915.0,4,1
0.335,-7.584879999999999,0.041,0.991,0.0371,67.446,328000.0,4,0
0.463,-7.584879999999999,0.044,0.877,0.222,122.437,301720.0,4,0
0.849,-5.335,0.439,0.52,0.665,147.039,145853.0,4,1
0.205,-7.584879999999999,0.0595,0.968,0.296,136.871,169924.0,4,0
0.191,-7.584879999999999,0.0407,0.984,0.142,135.974,150733.0,3,0
0.901,-6.199,0.308,0.466,0.551,132.979,173987.0,4,1
0.45,-5.075,0.09,0.000243,0.177,140.046,216033.0,4,1
0.656,-9.583,0.0354,0.0791,0.947,108.698,183667.0,4,0
0.712,-15.485,0.0363,0.0752,0.961,103.604,281667.0,4,0
0.447,-10.634,0.0376,0.934,0.036,92.468,315427.0,4,0
0.716,-3.412,0.261,0.094,0.587,139.943,200571.0,4,1
0.795,-10.775,0.326,0.416,0.649,156.99,95533.0,4,1
0.767,-4.541,0.0387,0.785,0.631,90.056,186720.0,4,1
0.797,-9.28,0.0278,0.6,0.628,108.628,248440.0,4,0
0.8,-6.262,0.234,0.109,0.815,143.975,230854.0,4,1
0.64,-6.81,0.039,0.00418,0.861,145.009,190000.0,4,1
0.571,-4.907,0.215,4.93e-05,0.0468,94.992,211693.0,4,0
0.762,-7.585,0.0909,0.542,0.39,115.908,204327.33870967742,4,0
0.583,-10.033,0.0429,0.416,0.153,127.667,316378.0,4,0
0.533,-5.284,0.0581,0.156,0.0888,128.646,158547.0,5,1
0.864,-6.602,0.279,0.0987,0.22,140.025,190972.0,4,1
0.856,-8.173,0.336,0.127,0.723,142.95,204327.33870967742,4,1
0.225,-5.626,0.143,5.84e-06,0.105,115.077,285907.0,4,0
0.166,-7.584879999999999,0.052,0.976,0.143,176.616,206520.0,3,0
0.862,-11.63,0.0565,0.0192,0.882,124.896,254240.0,4,0
0.499,-11.509,0.0448,0.951,0.616,90.664,235947.0,4,0
0.574,-5.838,0.0965,0.0406,0.413,110.547,190239.0,5,1
0.747,-7.845,0.197,0.13,0.531,77.507,177213.0,4,1
